date,os,visits
2019-12-01,Samsung,736
2019-12-01,Tizen,2125
2019-12-01,UNIX,43
2019-12-01,Windows,8778350
2019-12-01,Windows Phone,3921
2019-12-01,Xbox,1092
2019-12-01,iOS,9003883
2019-12-02,(not set),20223
2019-12-02,Android,9218150
2019-12-02,BlackBerry,4291
2019-12-02,Chrome OS,822731
2019-12-02,Firefox OS,162
2019-12-02,FreeBSD,208
2019-12-02,Google TV,49
2019-12-02,Linux,442775
2019-12-02,Macintosh,5420450
2019-12-02,NetBSD,55
2019-12-02,Nintendo 3DS,51
2019-12-02,Nintendo WiiU,54
2019-12-02,Nokia,12
2019-12-02,OS/2,725
2019-12-02,OpenBSD,51
2019-12-02,Playstation 3,101
2019-12-02,Playstation 4,1438
2019-12-02,Playstation Vita,49
2019-12-02,Samsung,703
2019-12-02,SunOS,21
2019-12-02,Tizen,2179
2019-12-02,UNIX,42
2019-12-02,Windows,20938507
2019-12-02,Windows Phone,4227
2019-12-02,Xbox,1095
2019-12-02,iOS,12489878
2019-12-03,(not set),20710
2019-12-03,Android,9236788
2019-12-03,BlackBerry,4066
2019-12-03,Chrome OS,907979
2019-12-03,Firefox OS,131
2019-12-03,FreeBSD,178
2019-12-03,Google TV,48
2019-12-03,Linux,436243
2019-12-03,Macintosh,5230404
2019-12-03,NetBSD,47
2019-12-03,Nintendo 3DS,48
2019-12-03,Nintendo WiiU,37
2019-12-03,Nokia,14
2019-12-03,OS/2,683
2019-12-03,OpenBSD,27
2019-12-03,Playstation 3,85
2019-12-03,Playstation 4,1394
2019-12-03,Playstation Vita,46
2019-12-03,Samsung,693
2019-12-03,Tizen,1832
2019-12-03,UNIX,50
2019-12-03,Windows,20704750
2019-12-03,Windows Phone,3945
2019-12-03,Xbox,1040
2019-12-03,iOS,12679603
2019-12-04,(not set),20403
2019-12-04,Android,9433136
2019-12-04,BlackBerry,4249
2019-12-04,Chrome OS,947261
2019-12-04,Firefox OS,114
2019-12-04,FreeBSD,179
2019-12-04,Google TV,32
2019-12-04,Linux,432684
2019-12-04,Macintosh,5154181
2019-12-04,NetBSD,37
2019-12-04,Nintendo 3DS,52
2019-12-04,Nintendo WiiU,85
2019-12-04,Nokia,12
2019-12-04,OS/2,641
2019-12-04,OpenBSD,38
2019-12-04,Playstation 3,63
2019-12-04,Playstation 4,1334
2019-12-04,Playstation Vita,57
2019-12-04,Samsung,711
2019-12-04,SunOS,20
2019-12-04,Tizen,2019
2019-12-04,UNIX,64
2019-12-04,Windows,20504105
2019-12-04,Windows Phone,4060
2019-12-04,Xbox,1070
2019-12-04,iOS,13347092
2019-12-05,(not set),20163
2019-12-05,Android,9513881
2019-12-05,BlackBerry,4322
2019-12-05,Chrome OS,967951
2019-12-05,Firefox OS,138
2019-12-05,FreeBSD,196
2019-12-05,Google TV,31
2019-12-05,Linux,418493
2019-12-05,Macintosh,4948545
2019-12-05,NetBSD,63
2019-12-05,Nintendo 3DS,48
2019-12-05,Nintendo WiiU,65
2019-12-05,Nokia,12
2019-12-05,OS/2,674
2019-12-05,OpenBSD,81
2019-12-05,Playstation 3,89
2019-12-05,Playstation 4,1265
2019-12-05,Playstation Vita,69
2019-12-05,Samsung,730
2019-12-05,Tizen,1953
2019-12-05,UNIX,43
2019-12-05,Windows,20109143
2019-12-05,Windows Phone,4109
2019-12-05,Xbox,1089
2019-12-05,iOS,13797540
2019-12-06,(not set),20684
2019-12-06,Android,8982415
2019-12-06,BlackBerry,4087
2019-12-06,Chrome OS,809149
2019-12-06,Firefox OS,148
2019-12-06,FreeBSD,199
2019-12-06,Google TV,35
2019-12-06,Linux,399831
2019-12-06,Macintosh,4276787
2019-12-06,NetBSD,154
2019-12-06,Nintendo 3DS,59
2019-12-06,Nintendo WiiU,55
2019-12-06,OS/2,669
2019-12-06,OpenBSD,173
2019-12-06,Playstation 3,91
2019-12-06,Playstation 4,1299
2019-12-06,Playstation Vita,71
2019-12-06,Samsung,708
2019-12-06,SunOS,16
2019-12-06,Tizen,1976
2019-12-06,UNIX,41
2019-12-06,Windows,17254445
2019-12-06,Windows Phone,3819
2019-12-06,Xbox,1049
2019-12-06,iOS,13108701
2019-12-07,(not set),19452
2019-12-07,Android,7794939
2019-12-07,BlackBerry,3699
2019-12-07,Chrome OS,241668
2019-12-07,Firefox OS,163
2019-12-07,FreeBSD,162
2019-12-07,Google TV,33
2019-12-07,Linux,325167
2019-12-07,Macintosh,3098691
2019-12-07,NetBSD,174
2019-12-07,Nintendo 3DS,73
2019-12-07,Nintendo WiiU,66
2019-12-07,Nokia,11
2019-12-07,OS/2,587
2019-12-07,OpenBSD,205
2019-12-07,Playstation 3,85
2019-12-07,Playstation 4,1409
2019-12-07,Playstation Vita,50
2019-12-07,Samsung,723
2019-12-07,Tizen,1860
2019-12-07,UNIX,46
2019-12-07,Windows,8073581
2019-12-07,Windows Phone,3452
2019-12-07,Xbox,1116
2019-12-07,iOS,11035468
2019-12-08,(not set),21339
2019-12-08,Android,7011863
2019-12-08,BlackBerry,3267
2019-12-08,Chrome OS,305546
2019-12-08,Firefox OS,129
2019-12-08,FreeBSD,165
2019-12-08,Google TV,33
2019-12-08,Linux,316713
2019-12-08,Macintosh,3495726
2019-12-08,NetBSD,80
2019-12-08,Nintendo 3DS,72
2019-12-08,Nintendo WiiU,78
2019-12-08,OS/2,604
2019-12-08,OpenBSD,102
2019-12-08,Playstation 3,101
2019-12-08,Playstation 4,1292
2019-12-08,Playstation Vita,43
2019-12-08,Samsung,724
2019-12-08,Tizen,1837
2019-12-08,UNIX,41
2019-12-08,Windows,8532054
2019-12-08,Windows Phone,3455
2019-12-08,Xbox,988
2019-12-08,iOS,9369867
2019-12-09,(not set),21132
2019-12-09,Android,9767848
2019-12-09,BlackBerry,4353
2019-12-09,Chrome OS,925656
2019-12-09,Firefox OS,175
2019-12-09,FreeBSD,245
2019-12-09,Google TV,33
2019-12-09,Linux,426965
2019-12-09,Macintosh,5301237
2019-12-09,NetBSD,75
2019-12-09,Nintendo 3DS,57
2019-12-09,Nintendo WiiU,59
2019-12-09,Nokia,14
2019-12-09,OS/2,735
2019-12-09,OpenBSD,82
2019-12-09,Playstation 3,92
2019-12-09,Playstation 4,1390
2019-12-09,Playstation Vita,49
2019-12-09,Samsung,742
2019-12-09,SunOS,15
2019-12-09,Tizen,1843
2019-12-09,UNIX,50
2019-12-09,Windows,21281640
2019-12-09,Windows Phone,4062
2019-12-09,Xbox,1180
2019-12-09,iOS,13934550
2019-12-10,(not set),20721
2019-12-10,Android,9486434
2019-12-10,BlackBerry,4149
2019-12-10,Chrome OS,943188
2019-12-10,Firefox OS,175
2019-12-10,FreeBSD,200
2019-12-10,Google TV,47
2019-12-10,Linux,428258
2019-12-10,Macintosh,5015835
2019-12-10,NetBSD,98
2019-12-10,Nintendo 3DS,57
2019-12-10,Nintendo WiiU,83
2019-12-10,Nokia,14
2019-12-10,OS/2,742
2019-12-10,OpenBSD,100
2019-12-10,Playstation 3,117
2019-12-10,Playstation 4,1381
2019-12-10,Playstation Vita,44
2019-12-10,Samsung,526
2019-12-10,SunOS,19
2019-12-10,Tizen,1625
2019-12-10,UNIX,47
2019-12-10,Windows,20619456
2019-12-10,Windows Phone,3952
2019-12-10,Xbox,1058
2019-12-10,iOS,13528351
2019-12-11,(not set),16508
2019-12-11,Android,9307596
2019-12-11,BlackBerry,3913
2019-12-11,Chrome OS,897245
2019-12-11,Firefox OS,147
2019-12-11,FreeBSD,183
2019-12-11,Google TV,35
2019-12-11,Linux,446083
2019-12-11,Macintosh,4810520
2019-12-11,NetBSD,58
2019-12-11,Nintendo 3DS,39
2019-12-11,Nintendo WiiU,81
2019-12-11,OS/2,667
2019-12-11,OpenBSD,93
2019-12-11,Playstation 3,78
2019-12-11,Playstation 4,1273
2019-12-11,Playstation Vita,46
2019-12-11,Samsung,330
2019-12-11,SunOS,13
2019-12-11,Tizen,1408
2019-12-11,UNIX,39
2019-12-11,Windows,19909021
2019-12-11,Windows Phone,3930
2019-12-11,Xbox,1027
2019-12-11,iOS,13534913
2019-12-12,(not set),15828
2019-12-12,Android,9194002
2019-12-12,BlackBerry,3659
2019-12-12,Chrome OS,901086
2019-12-12,Firefox OS,126
2019-12-12,FreeBSD,188
2019-12-12,Google TV,30
2019-12-12,Linux,423262
2019-12-12,Macintosh,4545343
2019-12-12,NetBSD,72
2019-12-12,Nintendo 3DS,39
2019-12-12,Nintendo WiiU,91
2019-12-12,Nokia,14
2019-12-12,OS/2,671
2019-12-12,OpenBSD,94
2019-12-12,Playstation 3,78
2019-12-12,Playstation 4,1320
2019-12-12,Playstation Vita,55
2019-12-12,Samsung,358
2019-12-12,Tizen,1334
2019-12-12,UNIX,45
2019-12-12,Windows,19137069
2019-12-12,Windows Phone,3658
2019-12-12,Xbox,1091
2019-12-12,iOS,13450094
2019-12-13,(not set),15274
2019-12-13,Android,8680669
2019-12-13,BlackBerry,3755
2019-12-13,Chrome OS,735665
2019-12-13,Firefox OS,169
2019-12-13,FreeBSD,212
2019-12-13,Google TV,39
2019-12-13,Linux,420610
2019-12-13,Macintosh,3968843
2019-12-13,NetBSD,74
2019-12-13,Nintendo 3DS,44
2019-12-13,Nintendo WiiU,69
2019-12-13,OS/2,638
2019-12-13,OpenBSD,83
2019-12-13,Playstation 3,105
2019-12-13,Playstation 4,1281
2019-12-13,Playstation Vita,42
2019-12-13,Samsung,347
2019-12-13,Tizen,1266
2019-12-13,UNIX,41
2019-12-13,Windows,16430715
2019-12-13,Windows Phone,3641
2019-12-13,Xbox,1077
2019-12-13,iOS,12546337
2019-12-14,(not set),14909
2019-12-14,Android,7719550
2019-12-14,BlackBerry,3356
2019-12-14,Chrome OS,233842
2019-12-14,Firefox OS,204
2019-12-14,FreeBSD,172
2019-12-14,Google TV,37
2019-12-14,Linux,337651
2019-12-14,Macintosh,2922983
2019-12-14,NetBSD,58
2019-12-14,Nintendo 3DS,65
2019-12-14,Nintendo WiiU,68
2019-12-14,OS/2,654
2019-12-14,OpenBSD,81
2019-12-14,Playstation 3,89
2019-12-14,Playstation 4,1412
2019-12-14,Playstation Vita,53
2019-12-14,Samsung,372
2019-12-14,SunOS,13
2019-12-14,Tizen,1408
2019-12-14,UNIX,48
2019-12-14,Windows,7659489
2019-12-14,Windows Phone,3510
2019-12-14,Xbox,1031
2019-12-14,iOS,10816253
2019-12-15,(not set),15033
2019-12-15,Android,7292287
2019-12-15,BlackBerry,3242
2019-12-15,Chrome OS,301728
2019-12-15,Firefox OS,145
2019-12-15,FreeBSD,179
2019-12-15,Google TV,32
2019-12-15,Linux,343888
2019-12-15,Macintosh,3303757
2019-12-15,NetBSD,55
2019-12-15,Nintendo 3DS,56
2019-12-15,Nintendo WiiU,86
2019-12-15,OS/2,598
2019-12-15,OpenBSD,60
2019-12-15,Playstation 3,100
2019-12-15,Playstation 4,1365
2019-12-15,Playstation Vita,44
2019-12-15,Samsung,325
2019-12-15,SunOS,15
2019-12-15,Tizen,1550
2019-12-15,UNIX,46
2019-12-15,Windows,8323885
2019-12-15,Windows Phone,3409
2019-12-15,Xbox,1083
2019-12-15,iOS,9877983
2019-12-16,(not set),16034
2019-12-16,Android,10106909
2019-12-16,BlackBerry,4344
2019-12-16,Chrome OS,853694
2019-12-16,Firefox OS,129
2019-12-16,FreeBSD,241
2019-12-16,Google TV,44
2019-12-16,Linux,449102
2019-12-16,Macintosh,5200445
2019-12-16,NetBSD,58
2019-12-16,Nintendo 3DS,71
2019-12-16,Nintendo WiiU,113
2019-12-16,OS/2,826
2019-12-16,OpenBSD,80
2019-12-16,Playstation 3,146
2019-12-16,Playstation 4,1443
2019-12-16,Playstation Vita,74
2019-12-16,Samsung,389
2019-12-16,SunOS,17
2019-12-16,Tizen,1741
2019-12-16,UNIX,45
2019-12-16,Windows,21858194
2019-12-16,Windows Phone,3968
2019-12-16,Xbox,1490
2019-12-16,iOS,14654650
2019-12-17,(not set),16083
2019-12-17,Android,9382248
2019-12-17,BlackBerry,4087
2019-12-17,Chrome OS,751654
2019-12-17,Firefox OS,142
2019-12-17,FreeBSD,187
2019-12-17,Google TV,43
2019-12-17,Linux,433819
2019-12-17,Macintosh,4627458
2019-12-17,NetBSD,61
2019-12-17,Nintendo 3DS,56
2019-12-17,Nintendo WiiU,111
2019-12-17,OS/2,685
2019-12-17,OpenBSD,73
2019-12-17,Playstation 3,84
2019-12-17,Playstation 4,1330
2019-12-17,Playstation Vita,73
2019-12-17,Samsung,317
2019-12-17,SunOS,15
2019-12-17,Tizen,1540
2019-12-17,UNIX,42
2019-12-17,Windows,19690694
2019-12-17,Windows Phone,3859
2019-12-17,Xbox,1195
2019-12-17,iOS,13626202
2019-12-18,(not set),16122
2019-12-18,Android,9261164
2019-12-18,BlackBerry,3979
2019-12-18,Chrome OS,693669
2019-12-18,Firefox OS,153
2019-12-18,FreeBSD,185
2019-12-18,Google TV,44
2019-12-18,Linux,425912
2019-12-18,Macintosh,4380165
2019-12-18,NetBSD,48
2019-12-18,Nintendo 3DS,46
2019-12-18,Nintendo WiiU,64
2019-12-18,OS/2,634
2019-12-18,OpenBSD,49
2019-12-18,Playstation 3,90
2019-12-18,Playstation 4,1338
2019-12-18,Playstation Vita,43
2019-12-18,Samsung,307
2019-12-18,SunOS,14
2019-12-18,Tizen,1440
2019-12-18,UNIX,79
2019-12-18,Windows,18932267
2019-12-18,Windows Phone,3635
2019-12-18,Xbox,1062
2019-12-18,iOS,13689628
2019-12-19,(not set),16102
2019-12-19,Android,9277509
2019-12-19,BlackBerry,4118
2019-12-19,Chrome OS,596732
2019-12-19,Firefox OS,111
2019-12-19,FreeBSD,162
2019-12-19,Google TV,45
2019-12-19,Linux,416773
2019-12-19,Macintosh,4155558
2019-12-19,NetBSD,112
2019-12-19,Nintendo 3DS,38
2019-12-19,Nintendo WiiU,85
2019-12-19,OS/2,589
2019-12-19,OpenBSD,132
2019-12-19,Playstation 3,70
2019-12-19,Playstation 4,1280
2019-12-19,Playstation Vita,52
2019-12-19,Samsung,309
2019-12-19,SunOS,20
2019-12-19,Tizen,1524
2019-12-19,UNIX,48
2019-12-19,Windows,17935366
2019-12-19,Windows Phone,3604
2019-12-19,Xbox,1120
2019-12-19,iOS,13838241
2019-12-20,(not set),16969
2019-12-20,Android,8835758
2019-12-20,BlackBerry,3863
2019-12-20,Chrome OS,357229
2019-12-20,Firefox OS,137
2019-12-20,FreeBSD,168
2019-12-20,Google TV,34
2019-12-20,Linux,391620
2019-12-20,Macintosh,3601593
2019-12-20,NetBSD,85
2019-12-20,Nintendo 3DS,25
2019-12-20,Nintendo WiiU,83
2019-12-20,OS/2,616
2019-12-20,OpenBSD,119
2019-12-20,Playstation 3,98
2019-12-20,Playstation 4,1228
2019-12-20,Playstation Vita,44
2019-12-20,Samsung,298
2019-12-20,SunOS,14
2019-12-20,Tizen,1754
2019-12-20,UNIX,44
2019-12-20,Windows,15200692
2019-12-20,Windows Phone,3380
2019-12-20,Xbox,1018
2019-12-20,iOS,13381284
2019-12-21,(not set),14634
2019-12-21,Android,7773489
2019-12-21,BlackBerry,3506
2019-12-21,Chrome OS,177402
2019-12-21,Firefox OS,147
2019-12-21,FreeBSD,147
2019-12-21,Google TV,20
2019-12-21,Linux,347497
2019-12-21,Macintosh,2554599
2019-12-21,NetBSD,96
2019-12-21,Nintendo 3DS,52
2019-12-21,Nintendo WiiU,72
2019-12-21,OS/2,558
2019-12-21,OpenBSD,106
2019-12-21,Playstation 3,90
2019-12-21,Playstation 4,1323
2019-12-21,Playstation Vita,51
2019-12-21,Samsung,283
2019-12-21,Tizen,1466
2019-12-21,UNIX,36
2019-12-21,Windows,6733152
2019-12-21,Windows Phone,3122
2019-12-21,Xbox,1016
2019-12-21,iOS,11653646
2019-12-22,(not set),16209
2019-12-22,Android,6624667
2019-12-22,BlackBerry,3000
2019-12-22,Chrome OS,155994
2019-12-22,Firefox OS,115
2019-12-22,FreeBSD,172
2019-12-22,Google TV,30
2019-12-22,Linux,321483
2019-12-22,Macintosh,2317866
2019-12-22,NetBSD,102
2019-12-22,Nintendo 3DS,46
2019-12-22,Nintendo WiiU,79
2019-12-22,OS/2,502
2019-12-22,OpenBSD,95
2019-12-22,Playstation 3,72
2019-12-22,Playstation 4,1176
2019-12-22,Playstation Vita,42
2019-12-22,Samsung,329
2019-12-22,Tizen,1636
2019-12-22,UNIX,40
2019-12-22,Windows,6240029
2019-12-22,Windows Phone,3109
2019-12-22,Xbox,996
2019-12-22,iOS,9409008
2019-12-23,(not set),13729
2019-12-23,Android,8630356
2019-12-23,BlackBerry,3800
2019-12-23,Chrome OS,195896
2019-12-23,Firefox OS,139
2019-12-23,FreeBSD,161
2019-12-23,Google TV,26
2019-12-23,Linux,383236
2019-12-23,Macintosh,3146197
2019-12-23,NetBSD,83
2019-12-23,Nintendo 3DS,44
2019-12-23,Nintendo WiiU,56
2019-12-23,OS/2,566
2019-12-23,OpenBSD,82
2019-12-23,Playstation 3,84
2019-12-23,Playstation 4,1241
2019-12-23,Playstation Vita,47
2019-12-23,Samsung,342
2019-12-23,SunOS,14
2019-12-23,Tizen,1407
2019-12-23,UNIX,46
2019-12-23,Windows,14250640
2019-12-23,Windows Phone,3228
2019-12-23,Xbox,1053
2019-12-23,iOS,12794401
2019-12-24,(not set),13514
2019-12-24,Android,6781181
2019-12-24,BlackBerry,3342
2019-12-24,Chrome OS,138162
2019-12-24,Firefox OS,163
2019-12-24,FreeBSD,153
2019-12-24,Google TV,28
2019-12-24,Linux,334146
2019-12-24,Macintosh,2113733
2019-12-24,NetBSD,149
2019-12-24,Nintendo 3DS,28
2019-12-24,Nintendo WiiU,56
2019-12-24,OS/2,545
2019-12-24,OpenBSD,183
2019-12-24,Playstation 3,69
2019-12-24,Playstation 4,1169
2019-12-24,Playstation Vita,46
2019-12-24,Samsung,359
2019-12-24,Tizen,1502
2019-12-24,UNIX,38
2019-12-24,Windows,7909105
2019-12-24,Windows Phone,2846
2019-12-24,Xbox,891
2019-12-24,iOS,9630136
2019-12-25,(not set),13534
2019-12-25,Android,5639402
2019-12-25,BlackBerry,2618
2019-12-25,Chrome OS,107895
2019-12-25,Firefox OS,144
2019-12-25,FreeBSD,134
2019-12-25,Google TV,30
2019-12-25,Linux,310634
2019-12-25,Macintosh,1569448
2019-12-25,NetBSD,200
2019-12-25,Nintendo 3DS,39
2019-12-25,Nintendo WiiU,30
2019-12-25,OS/2,477
2019-12-25,OpenBSD,250
2019-12-25,Playstation 3,109
2019-12-25,Playstation 4,1009
2019-12-25,Playstation Vita,49
2019-12-25,Samsung,451
2019-12-25,Tizen,1443
2019-12-25,UNIX,54
2019-12-25,Windows,4736341
2019-12-25,Windows Phone,2774
2019-12-25,Xbox,755
2019-12-25,iOS,6883149
2019-12-26,(not set),13862
2019-12-26,Android,7901729
2019-12-26,BlackBerry,3528
2019-12-26,Chrome OS,189402
2019-12-26,Firefox OS,128
2019-12-26,FreeBSD,167
2019-12-26,Google TV,33
2019-12-26,Linux,358405
2019-12-26,Macintosh,2817533
2019-12-26,NetBSD,162
2019-12-26,Nintendo 3DS,51
2019-12-26,Nintendo WiiU,49
2019-12-26,OS/2,594
2019-12-26,OpenBSD,171
2019-12-26,Playstation 3,102
2019-12-26,Playstation 4,1351
2019-12-26,Playstation Vita,40
2019-12-26,Samsung,377
2019-12-26,Tizen,1595
2019-12-26,UNIX,65
2019-12-26,Windows,11886466
2019-12-26,Windows Phone,3231
2019-12-26,Xbox,929
2019-12-26,iOS,10501148
2019-12-27,(not set),13184
2019-12-27,Android,7874105
2019-12-27,BlackBerry,3568
2019-12-27,Chrome OS,191227
2019-12-27,Firefox OS,180
2019-12-27,FreeBSD,181
2019-12-27,Google TV,40
2019-12-27,Linux,360616
2019-12-27,Macintosh,2819627
2019-12-27,NetBSD,139
2019-12-27,Nintendo 3DS,65
2019-12-27,Nintendo WiiU,49
2019-12-27,OS/2,641
2019-12-27,OpenBSD,194
2019-12-27,Playstation 3,98
2019-12-27,Playstation 4,1257
2019-12-27,Playstation Vita,39
2019-12-27,Samsung,373
2019-12-27,Tizen,1554
2019-12-27,UNIX,48
2019-12-27,Windows,11840493
2019-12-27,Windows Phone,3294
2019-12-27,Xbox,1139
2019-12-27,iOS,10516859
2019-12-28,(not set),12905
2019-12-28,Android,7196651
2019-12-28,BlackBerry,3317
2019-12-28,Chrome OS,171455
2019-12-28,Firefox OS,202
2019-12-28,FreeBSD,181
2019-12-28,Google TV,39
2019-12-28,Linux,323250
2019-12-28,Macintosh,2337127
2019-12-28,NetBSD,95
2019-12-28,Nintendo 3DS,78
2019-12-28,Nintendo WiiU,46
2019-12-28,OS/2,615
2019-12-28,OpenBSD,109
2019-12-28,Playstation 3,113
2019-12-28,Playstation 4,1255
2019-12-28,Playstation Vita,51
2019-12-28,Samsung,328
2019-12-28,SunOS,15
2019-12-28,Tizen,1515
2019-12-28,UNIX,45
2019-12-28,Windows,6289972
2019-12-28,Windows Phone,3230
2019-12-28,Xbox,1034
2019-12-28,iOS,9438510
2019-12-29,(not set),13994
2019-12-29,Android,6586704
2019-12-29,BlackBerry,3000
2019-12-29,Chrome OS,172895
2019-12-29,Firefox OS,163
2019-12-29,FreeBSD,184
2019-12-29,Google TV,43
2019-12-29,Linux,309744
2019-12-29,Macintosh,2374773
2019-12-29,NetBSD,217
2019-12-29,Nintendo 3DS,79
2019-12-29,Nintendo WiiU,60
2019-12-29,OS/2,618
2019-12-29,OpenBSD,204
2019-12-29,Playstation 3,119
2019-12-29,Playstation 4,1272
2019-12-29,Playstation Vita,44
2019-12-29,Samsung,350
2019-12-29,Tizen,1529
2019-12-29,UNIX,58
2019-12-29,Windows,6239000
2019-12-29,Windows Phone,3290
2019-12-29,Xbox,964
2019-12-29,iOS,8429395
2019-12-30,(not set),15177
2019-12-30,Android,8296841
2019-12-30,BlackBerry,3578
2019-12-30,Chrome OS,228801
2019-12-30,Firefox OS,175
2019-12-30,FreeBSD,188
2019-12-30,Google TV,50
2019-12-30,Linux,372848
2019-12-30,Macintosh,3362382
2019-12-30,NetBSD,140
2019-12-30,Nintendo 3DS,72
2019-12-30,Nintendo WiiU,50
2019-12-30,OS/2,779
2019-12-30,OpenBSD,183
2019-12-30,Playstation 3,83
2019-12-30,Playstation 4,1279
2019-12-30,Playstation Vita,44
2019-12-30,Samsung,361
2019-12-30,Tizen,1735
2019-12-30,UNIX,57
2019-12-30,Windows,14787101
2019-12-30,Windows Phone,3292
2019-12-30,Xbox,1071
2019-12-30,iOS,11211342
2019-12-31,(not set),15409
2019-12-31,Android,6720800
2019-12-31,BlackBerry,3107
2019-12-31,Chrome OS,178956
2019-12-31,Firefox OS,121
2019-12-31,FreeBSD,149
2019-12-31,Google TV,35
2019-12-31,Linux,341663
2019-12-31,Macintosh,2535764
2019-12-31,NetBSD,81
2019-12-31,Nintendo 3DS,64
2019-12-31,Nintendo WiiU,39
2019-12-31,OS/2,593
2019-12-31,OpenBSD,87
2019-12-31,Playstation 3,123
2019-12-31,Playstation 4,1211
2019-12-31,Playstation Vita,27
2019-12-31,Samsung,323
2019-12-31,Tizen,1520
2019-12-31,UNIX,54
2019-12-31,Windows,10772048
2019-12-31,Windows Phone,2795
2019-12-31,Xbox,959
2019-12-31,iOS,9120087
2020-01-01,(not set),14682
2020-01-01,Android,6351553
2020-01-01,BlackBerry,2762
2020-01-01,Chrome OS,185496
2020-01-01,Firefox OS,116
2020-01-01,FreeBSD,146
2020-01-01,Google TV,35
2020-01-01,Linux,326976
2020-01-01,Macintosh,2352030
2020-01-01,NetBSD,72
2020-01-01,Nintendo 3DS,49
2020-01-01,Nintendo WiiU,64
2020-01-01,OS/2,596
2020-01-01,OpenBSD,78
2020-01-01,Playstation 3,94
2020-01-01,Playstation 4,1363
2020-01-01,Playstation Vita,32
2020-01-01,Samsung,315
2020-01-01,Tizen,1700
2020-01-01,UNIX,35
2020-01-01,Windows,6188301
2020-01-01,Windows Phone,2787
2020-01-01,Xbox,946
2020-01-01,iOS,8226820
2020-01-02,(not set),16709
2020-01-02,Android,8891053
2020-01-02,BlackBerry,3616
2020-01-02,Chrome OS,357917
2020-01-02,Firefox OS,142
2020-01-02,FreeBSD,148
2020-01-02,Google TV,37
2020-01-02,Linux,383932
2020-01-02,Macintosh,3909517
2020-01-02,NetBSD,135
2020-01-02,Nintendo 3DS,61
2020-01-02,Nintendo WiiU,69
2020-01-02,OS/2,725
2020-01-02,OpenBSD,139
2020-01-02,Playstation 3,114
2020-01-02,Playstation 4,1412
2020-01-02,Playstation Vita,38
2020-01-02,Samsung,333
2020-01-02,Tizen,1794
2020-01-02,UNIX,42
2020-01-02,Windows,17370812
2020-01-02,Windows Phone,3272
2020-01-02,Xbox,1187
2020-01-02,iOS,11993157
2020-01-03,(not set),16616
2020-01-03,Android,8622713
2020-01-03,BlackBerry,3496
2020-01-03,Chrome OS,349845
2020-01-03,Firefox OS,117
2020-01-03,FreeBSD,175
2020-01-03,Google TV,38
2020-01-03,Linux,398929
2020-01-03,Macintosh,3643979
2020-01-03,NetBSD,115
2020-01-03,Nintendo 3DS,44
2020-01-03,Nintendo WiiU,85
2020-01-03,OS/2,662
2020-01-03,OpenBSD,114
2020-01-03,Playstation 3,128
2020-01-03,Playstation 4,1361
2020-01-03,Playstation Vita,39
2020-01-03,Samsung,389
2020-01-03,Tizen,1735
2020-01-03,UNIX,42
2020-01-03,Windows,15859694
2020-01-03,Windows Phone,3258
2020-01-03,Xbox,1109
2020-01-03,iOS,11629778
2020-01-04,(not set),16169
2020-01-04,Android,7631446
2020-01-04,BlackBerry,3213
2020-01-04,Chrome OS,205132
2020-01-04,Firefox OS,124
2020-01-04,FreeBSD,185
2020-01-04,Google TV,36
2020-01-04,Linux,336409
2020-01-04,Macintosh,2772352
2020-01-04,NetBSD,69
2020-01-04,Nintendo 3DS,43
2020-01-04,Nintendo WiiU,46
2020-01-04,OS/2,630
2020-01-04,OpenBSD,77
2020-01-04,Playstation 3,111
2020-01-04,Playstation 4,1353
2020-01-04,Playstation Vita,31
2020-01-04,Samsung,388
2020-01-04,Tizen,1662
2020-01-04,UNIX,32
2020-01-04,Windows,7247525
2020-01-04,Windows Phone,3168
2020-01-04,Xbox,1037
2020-01-04,iOS,9994584
2020-01-05,(not set),15987
2020-01-05,Android,7265953
2020-01-05,BlackBerry,2979
2020-01-05,Chrome OS,227905
2020-01-05,Firefox OS,120
2020-01-05,FreeBSD,165
2020-01-05,Google TV,38
2020-01-05,Linux,331472
2020-01-05,Macintosh,2884143
2020-01-05,NetBSD,134
2020-01-05,Nintendo 3DS,46
2020-01-05,Nintendo WiiU,77
2020-01-05,OS/2,527
2020-01-05,OpenBSD,148
2020-01-05,Playstation 3,98
2020-01-05,Playstation 4,1249
2020-01-05,Playstation Vita,39
2020-01-05,Samsung,390
2020-01-05,Tizen,1739
2020-01-05,UNIX,50
2020-01-05,Windows,7414884
2020-01-05,Windows Phone,2967
2020-01-05,Xbox,1053
2020-01-05,iOS,9283691
2020-01-06,(not set),15410
2020-01-06,Android,9223380
2020-01-06,BlackBerry,3638
2020-01-06,Chrome OS,601246
2020-01-06,Firefox OS,165
2020-01-06,FreeBSD,167
2020-01-06,Google TV,40
2020-01-06,Linux,424564
2020-01-06,Macintosh,4501325
2020-01-06,NetBSD,155
2020-01-06,Nintendo 3DS,53
2020-01-06,Nintendo WiiU,63
2020-01-06,OS/2,665
2020-01-06,OpenBSD,182
2020-01-06,Playstation 3,94
2020-01-06,Playstation 4,1344
2020-01-06,Playstation Vita,48
2020-01-06,Samsung,347
2020-01-06,SunOS,17
2020-01-06,Tizen,1829
2020-01-06,UNIX,45
2020-01-06,Windows,20190428
2020-01-06,Windows Phone,3277
2020-01-06,Xbox,1287
